Gödel's Proof,Lauren O,5.0
Primed to Perform,Jordan S,3.0
Primed to Perform,David B,3.5
Design Patterns: Elements of Reusable Object-Oriented Software,Alex M,0.5
Extreme Ownership,Alex M,1.0
The Tangled Web,Eva Z,3.0
The Coaching Habit,David B,4.0
The Whole Earth Catalog,Atul V,2.5
The Humane Interface,Alma W,1.0
Designing Data-Intensive Applications,Eva Z,0.5
The Art of Computer Programming,Alex M,5.0
Primed to Perform,Roman M,1.0
Computer Systems: A Programmer's Perspective,Gabby H,0.5
The Art of Computer Programming,Sameeta D,2.5
The Whole Earth Catalog,Eric S,1.0
Design Patterns: Elements of Reusable Object-Oriented Software,Bill C,3.5
The Structure and Interpretation of Computer Programs,Eva Z,4.0
Conscious Business: How to Build Value Through Values,Gabby H,0.0
The Structure and Interpretation of Computer Programs,Lauren O,1.5
Crucial Conversations,Sameeta D,4.0
Innovators,Sam B,1.0
Primed to Perform,Kelsey G,2.0
Innovators,Sam B,0.0
Computer Systems: A Programmer's Perspective,Zach S,4.5
The Art of Computer Programming,Sameeta D,4.0
Resilient Management,Farrah P,0.0
The Whole Earth Catalog,Angela C,4.0
The Tangled Web,Michael G,4.5
Conscious Business: How to Build Value Through Values,Scott D,2.5
Extreme Ownership,Cory E,5.0
Crucial Conversations,Andrew L,1.5
Resilient Management,Farrah P,2.0
The Art of Computer Programming,Alma W,5.0
Crucial Conversations,Edward Z,2.0
Extreme Ownership,Sam B,4.5
Setting the Table,Sherly T,4.0
Gödel's Proof,Alma W,3.5
Extreme Ownership,Tess L,1.0
Crucial Conversations,Sam B,5.0
What Got You Here Won’t Get You There,Bill C,3.5
Setting the Table,Michael G,5.0
The Art of Computer Programming,Zach S,3.5
The Art of Computer Programming,MJ L,4.5
Setting the Table,Scott D,3.0
Designing Data-Intensive Applications,Sam B,0.5
Innovators,Bill C,5.0
The Coaching Habit,Atul V,4.5
Resilient Management,Alex M,1.0
Extreme Ownership,Zach S,4.0
Conscious Business: How to Build Value Through Values,Scott D,1.0
Refactoring,Atul V,2.0
Designing Data-Intensive Applications,Gabby H,0.5
Innovators,Cory E,0.5
Gödel's Proof,Gabriel B,0.5
The Art of Computer Programming,Edward Z,4.5
The Tangled Web,Sam B,0.0
Gödel's Proof,David B,0.0
Computer Systems: A Programmer's Perspective,Cory E,2.0
What Got You Here Won’t Get You There,Lauren O,4.0
Crucial Conversations,Sameeta D,1.5
The Tangled Web,Eva Z,2.5
Computer Systems: A Programmer's Perspective,Roman M,2.5
Ada Lovelace: The Making of a Computer Scientist,Gabriel B,5.0
What Got You Here Won’t Get You There,Tess L,1.5
Crucial Conversations,Alma W,3.0
What Got You Here Won’t Get You There,Sam B,2.5
Design Patterns: Elements of Reusable Object-Oriented Software,Andrew L,1.5
Ada Lovelace: The Making of a Computer Scientist,Andrew L,0.0
Refactoring,Andrew L,2.0
Crucial Conversations,Eva Z,5.0
The Structure and Interpretation of Computer Programs,Alex M,5.0
Computer Systems: A Programmer's Perspective,Lauren O,0.0
Conscious Business: How to Build Value Through Values,Andrew L,3.0
Ada Lovelace: The Making of a Computer Scientist,Alma W,1.0
Innovators,David B,3.0
Design Patterns: Elements of Reusable Object-Oriented Software,Zach S,4.0
Crucial Conversations,Sameeta D,3.5
Resilient Management,Farrah P,3.5
The Art of Computer Programming,Gabriel B,5.0
The Whole Earth Catalog,Tess L,4.0
Refactoring,Sherly T,0.5
Ada Lovelace: The Making of a Computer Scientist,Eva Z,0.0
Ada Lovelace: The Making of a Computer Scientist,Cory E,1.0
Refactoring,Alma W,4.0
Crucial Conversations,Andrew L,4.0
Ada Lovelace: The Making of a Computer Scientist,Gabby H,2.5
Extreme Ownership,Alex M,2.0
The Whole Earth Catalog,Michael G,2.5
Conscious Business: How to Build Value Through Values,Zach S,1.5
The Tangled Web,Michael G,5.0
Ada Lovelace: The Making of a Computer Scientist,Cory E,5.0
Resilient Management,Edward Z,5.0
What Got You Here Won’t Get You There,Eric S,3.5
Crucial Conversations,Michael G,1.0
Extreme Ownership,Cory E,2.0
Extreme Ownership,Farrah P,1.5
The Structure and Interpretation of Computer Programs,Michael G,0.0
Gödel's Proof,Farrah P,1.0
Computer Systems: A Programmer's Perspective,Gabby H,2.0
Primed to Perform,Andrew L,1.0
Crucial Conversations,Lauren O,3.5
Resilient Management,Gabby H,1.5
The Structure and Interpretation of Computer Programs,Bill C,0.0
The Humane Interface,Kelsey G,1.5
Crucial Conversations,Sameeta D,3.5
The Coaching Habit,Andrew L,4.0
Computer Systems: A Programmer's Perspective,Eva Z,1.5
The Whole Earth Catalog,David B,1.0
The Tangled Web,Cory E,1.0
Gödel's Proof,Scott D,1.0
Resilient Management,Scott D,2.0
The Tangled Web,Tess L,1.5
The Whole Earth Catalog,Sam B,0.5
Crucial Conversations,David B,2.0
The Whole Earth Catalog,Cory E,4.0
Conscious Business: How to Build Value Through Values,Zach S,2.5
The Humane Interface,Edward Z,1.5
The Tangled Web,Eric S,5.0
Refactoring,David B,0.0
The Art of Computer Programming,Cory E,4.5
The Structure and Interpretation of Computer Programs,Tess L,4.5
Gödel's Proof,Sam B,3.5
Resilient Management,Sameeta D,2.0
Computer Systems: A Programmer's Perspective,Tess L,1.5
The Tangled Web,Eva Z,2.0
Innovators,Angela C,4.0
Innovators,Atul V,5.0
The Coaching Habit,David B,3.0
The Structure and Interpretation of Computer Programs,Andrew L,2.0
Crucial Conversations,Zach S,4.0
Gödel's Proof,Gabriel B,3.0
What Got You Here Won’t Get You There,Farrah P,4.5
Innovators,Gabby H,1.0
Design Patterns: Elements of Reusable Object-Oriented Software,Eric S,0.5
Gödel's Proof,Bill C,4.0
Resilient Management,Jordan S,3.5
Ada Lovelace: The Making of a Computer Scientist,Lauren O,2.0
The Structure and Interpretation of Computer Programs,Sam B,3.5
What Got You Here Won’t Get You There,Scott D,0.5
The Structure and Interpretation of Computer Programs,Zach S,3.0
The Whole Earth Catalog,Lauren O,1.0
What Got You Here Won’t Get You There,Kelsey G,4.0
The Humane Interface,Sam B,4.0
Computer Systems: A Programmer's Perspective,David B,3.5
Setting the Table,Angela C,0.0
Refactoring,Eric S,3.5
Innovators,Eva Z,5.0
Computer Systems: A Programmer's Perspective,Sam B,3.5
Computer Systems: A Programmer's Perspective,Bill C,5.0
The Humane Interface,MJ L,0.0
Ada Lovelace: The Making of a Computer Scientist,Kelsey G,1.0
Design Patterns: Elements of Reusable Object-Oriented Software,David B,1.5
Extreme Ownership,Gabriel B,2.5
The Art of Computer Programming,Michael G,2.5
The Humane Interface,Eric S,3.0
What Got You Here Won’t Get You There,Sam B,2.0
Design Patterns: Elements of Reusable Object-Oriented Software,Alex M,4.0
Setting the Table,Lauren O,2.5
Extreme Ownership,Lauren O,1.0
The Tangled Web,David B,4.5
The Structure and Interpretation of Computer Programs,Gabby H,3.0
Computer Systems: A Programmer's Perspective,Sherly T,3.0
Gödel's Proof,MJ L,0.0
Ada Lovelace: The Making of a Computer Scientist,Eric S,4.0
Designing Data-Intensive Applications,Scott D,0.0
Computer Systems: A Programmer's Perspective,Zach S,1.0
Setting the Table,Michael G,4.5
What Got You Here Won’t Get You There,Sam B,4.5
Crucial Conversations,Jordan S,4.0
The Structure and Interpretation of Computer Programs,Jordan S,3.5
Conscious Business: How to Build Value Through Values,Sherly T,3.0
The Structure and Interpretation of Computer Programs,Sam B,4.0
Designing Data-Intensive Applications,Bill C,4.5
Primed to Perform,MJ L,0.0
The Structure and Interpretation of Computer Programs,Gabriel B,4.0
Ada Lovelace: The Making of a Computer Scientist,Sameeta D,2.0
Primed to Perform,Alma W,5.0
Computer Systems: A Programmer's Perspective,Sameeta D,1.5
Refactoring,Scott D,2.0
What Got You Here Won’t Get You There,Roman M,1.5
The Tangled Web,Alex M,3.0
Computer Systems: A Programmer's Perspective,Roman M,4.0
Resilient Management,Alex M,0.5
The Art of Computer Programming,Kelsey G,0.5
The Humane Interface,Sherly T,2.5
The Art of Computer Programming,Alma W,0.5
The Structure and Interpretation of Computer Programs,Kelsey G,3.5
Design Patterns: Elements of Reusable Object-Oriented Software,Edward Z,5.0
Resilient Management,Tess L,5.0
Gödel's Proof,Angela C,1.0
What Got You Here Won’t Get You There,Andrew L,4.0
Conscious Business: How to Build Value Through Values,Gabriel B,4.5
Primed to Perform,Sameeta D,1.0
Gödel's Proof,Gabby H,1.5
Designing Data-Intensive Applications,Jordan S,3.0
Innovators,Farrah P,1.5
Ada Lovelace: The Making of a Computer Scientist,Scott D,3.5
Conscious Business: How to Build Value Through Values,Bill C,3.0
Design Patterns: Elements of Reusable Object-Oriented Software,Gabby H,1.5
Designing Data-Intensive Applications,Alex M,0.0
Computer Systems: A Programmer's Perspective,Andrew L,4.5
Conscious Business: How to Build Value Through Values,MJ L,4.0
Design Patterns: Elements of Reusable Object-Oriented Software,Eric S,0.0
Ada Lovelace: The Making of a Computer Scientist,Andrew L,4.0
The Whole Earth Catalog,Andrew L,2.0
The Coaching Habit,Andrew L,1.5
Refactoring,Eva Z,0.5
The Coaching Habit,David B,4.5
Gödel's Proof,Sameeta D,1.0
What Got You Here Won’t Get You There,Alma W,2.5
The Humane Interface,David B,0.0
Gödel's Proof,Eva Z,2.0
The Structure and Interpretation of Computer Programs,Cory E,1.5
Crucial Conversations,Scott D,5.0
Design Patterns: Elements of Reusable Object-Oriented Software,Atul V,5.0
Computer Systems: A Programmer's Perspective,Angela C,0.5
Designing Data-Intensive Applications,Bill C,4.0
The Humane Interface,Alma W,0.0
Refactoring,Jordan S,1.0
Designing Data-Intensive Applications,Michael G,2.0
Innovators,MJ L,3.0
The Humane Interface,Sherly T,2.0
Setting the Table,Cory E,5.0
The Structure and Interpretation of Computer Programs,Angela C,1.5
Setting the Table,Atul V,2.0
Designing Data-Intensive Applications,Sameeta D,5.0
Design Patterns: Elements of Reusable Object-Oriented Software,Atul V,2.5
The Structure and Interpretation of Computer Programs,Lauren O,5.0
Design Patterns: Elements of Reusable Object-Oriented Software,Gabriel B,4.0
The Coaching Habit,Alma W,4.5
Resilient Management,Sherly T,1.0
Refactoring,Sameeta D,0.0
Gödel's Proof,Alma W,0.5
The Structure and Interpretation of Computer Programs,Cory E,5.0
Computer Systems: A Programmer's Perspective,Atul V,4.5
Conscious Business: How to Build Value Through Values,Roman M,0.5
Extreme Ownership,Lauren O,3.0
The Structure and Interpretation of Computer Programs,Bill C,3.5
Ada Lovelace: The Making of a Computer Scientist,Alex M,3.5
The Tangled Web,Gabby H,3.5
Crucial Conversations,Sameeta D,0.0
Innovators,Cory E,3.5
The Whole Earth Catalog,Roman M,4.0
The Coaching Habit,Edward Z,3.5
Ada Lovelace: The Making of a Computer Scientist,Tess L,2.5
The Tangled Web,Edward Z,2.5
The Whole Earth Catalog,Gabby H,3.0
Primed to Perform,Kelsey G,5.0
The Art of Computer Programming,Cory E,1.5
The Structure and Interpretation of Computer Programs,MJ L,2.5
Ada Lovelace: The Making of a Computer Scientist,Sherly T,0.0
The Humane Interface,Sherly T,2.5
The Art of Computer Programming,Farrah P,1.5
Design Patterns: Elements of Reusable Object-Oriented Software,Cory E,4.0
The Tangled Web,Roman M,3.0
Designing Data-Intensive Applications,Edward Z,2.0
Refactoring,Michael G,2.0
Conscious Business: How to Build Value Through Values,Edward Z,3.5
The Whole Earth Catalog,Zach S,4.0
The Humane Interface,Alma W,2.5
The Humane Interface,Andrew L,2.5
The Structure and Interpretation of Computer Programs,Jordan S,1.5
Primed to Perform,Gabriel B,0.5
The Humane Interface,Kelsey G,0.0
The Humane Interface,Eva Z,2.5
Innovators,Roman M,3.0
The Whole Earth Catalog,Michael G,2.0
The Coaching Habit,Scott D,1.0
Ada Lovelace: The Making of a Computer Scientist,Lauren O,3.0
Extreme Ownership,Michael G,4.5
The Whole Earth Catalog,Edward Z,2.0
Gödel's Proof,Eric S,0.5
The Coaching Habit,Tess L,0.5
Conscious Business: How to Build Value Through Values,Andrew L,2.5
Refactoring,Roman M,2.0
Computer Systems: A Programmer's Perspective,Andrew L,1.0
Extreme Ownership,Farrah P,2.5
Refactoring,Gabby H,0.0
Setting the Table,Eva Z,0.0
Refactoring,Lauren O,3.5
Resilient Management,Alma W,0.0
The Humane Interface,Bill C,0.0
Extreme Ownership,Eric S,2.5
Computer Systems: A Programmer's Perspective,Cory E,2.0
Design Patterns: Elements of Reusable Object-Oriented Software,Alma W,4.0
Resilient Management,MJ L,4.0
Design Patterns: Elements of Reusable Object-Oriented Software,Jordan S,4.0
Extreme Ownership,Kelsey G,3.0
Innovators,Sherly T,3.5
The Humane Interface,Lauren O,3.5
The Coaching Habit,Gabriel B,1.0
Designing Data-Intensive Applications,MJ L,4.5
Design Patterns: Elements of Reusable Object-Oriented Software,Andrew L,4.5
Innovators,Zach S,1.5
Crucial Conversations,Gabby H,3.5
Setting the Table,Gabby H,1.0
Extreme Ownership,Angela C,2.0
Ada Lovelace: The Making of a Computer Scientist,Alma W,3.0
Extreme Ownership,Eva Z,1.0
The Tangled Web,Lauren O,0.5
The Tangled Web,Lauren O,1.0
Innovators,Sameeta D,3.5
Refactoring,Lauren O,0.5
Primed to Perform,Edward Z,1.0
Gödel's Proof,Bill C,4.0
The Structure and Interpretation of Computer Programs,Michael G,5.0
Resilient Management,Scott D,1.0
Computer Systems: A Programmer's Perspective,Sherly T,0.0
Design Patterns: Elements of Reusable Object-Oriented Software,Angela C,5.0
Extreme Ownership,Eric S,1.0
The Humane Interface,Edward Z,1.5
Gödel's Proof,Bill C,5.0
Setting the Table,Bill C,3.5
The Art of Computer Programming,Edward Z,0.0
The Structure and Interpretation of Computer Programs,Cory E,3.0
Extreme Ownership,David B,4.5
Conscious Business: How to Build Value Through Values,Alex M,5.0
Gödel's Proof,Sameeta D,1.0
Conscious Business: How to Build Value Through Values,Sameeta D,2.5
The Whole Earth Catalog,David B,2.0
Refactoring,Gabriel B,4.5
Conscious Business: How to Build Value Through Values,Roman M,5.0
Conscious Business: How to Build Value Through Values,Gabriel B,5.0
The Tangled Web,Sam B,3.0
The Structure and Interpretation of Computer Programs,Eric S,0.5
Resilient Management,Alex M,3.0
Ada Lovelace: The Making of a Computer Scientist,Cory E,0.0
Conscious Business: How to Build Value Through Values,Alex M,5.0
The Art of Computer Programming,Eric S,4.5
Resilient Management,Eric S,2.0
Primed to Perform,Michael G,2.5
The Structure and Interpretation of Computer Programs,Cory E,3.5
Designing Data-Intensive Applications,Scott D,3.5
The Whole Earth Catalog,Angela C,2.0
Innovators,Gabby H,1.0
The Coaching Habit,Zach S,0.5
Setting the Table,Atul V,4.0
Extreme Ownership,Angela C,3.5
Computer Systems: A Programmer's Perspective,Roman M,4.5
Refactoring,Tess L,5.0
Refactoring,Zach S,3.0
Design Patterns: Elements of Reusable Object-Oriented Software,Jordan S,4.0
The Tangled Web,Farrah P,2.0
What Got You Here Won’t Get You There,Alex M,0.0
Setting the Table,Edward Z,1.0
Conscious Business: How to Build Value Through Values,Sameeta D,3.0
Resilient Management,Sameeta D,2.5
Crucial Conversations,Gabriel B,3.5
The Humane Interface,Zach S,5.0
Designing Data-Intensive Applications,Tess L,5.0
Designing Data-Intensive Applications,David B,1.0
Gödel's Proof,Atul V,0.5
Primed to Perform,Roman M,0.5
Designing Data-Intensive Applications,Alex M,5.0
The Art of Computer Programming,Atul V,5.0
Refactoring,Sherly T,5.0
Crucial Conversations,Eric S,3.5
Refactoring,Kelsey G,5.0
Conscious Business: How to Build Value Through Values,Eva Z,4.5
Crucial Conversations,Scott D,4.0
Extreme Ownership,Gabriel B,4.5
The Humane Interface,Michael G,0.0
The Coaching Habit,Angela C,2.5
The Whole Earth Catalog,Andrew L,2.5
Resilient Management,Alex M,4.5
The Art of Computer Programming,Sherly T,0.5
The Coaching Habit,Sam B,0.0
Primed to Perform,Sam B,3.5
Conscious Business: How to Build Value Through Values,Zach S,4.0
The Structure and Interpretation of Computer Programs,Bill C,4.5
Setting the Table,Alma W,0.0
Design Patterns: Elements of Reusable Object-Oriented Software,Farrah P,2.5
The Coaching Habit,Michael G,1.5
Primed to Perform,Gabriel B,1.0
Refactoring,Sameeta D,3.5
The Tangled Web,Kelsey G,4.0
Resilient Management,Alex M,2.5
Resilient Management,Kelsey G,2.0
The Art of Computer Programming,Alex M,0.5
Computer Systems: A Programmer's Perspective,Tess L,2.5
Extreme Ownership,David B,3.0
The Structure and Interpretation of Computer Programs,Eva Z,1.5
The Structure and Interpretation of Computer Programs,Edward Z,5.0
Refactoring,Eric S,2.0
Designing Data-Intensive Applications,Gabriel B,2.0
Crucial Conversations,Sameeta D,0.0
Designing Data-Intensive Applications,Eric S,4.0
Ada Lovelace: The Making of a Computer Scientist,Michael G,0.0
Computer Systems: A Programmer's Perspective,Alex M,1.0
Resilient Management,Gabby H,4.5
Refactoring,Lauren O,1.0
Innovators,Gabriel B,5.0
The Tangled Web,Kelsey G,0.0
Designing Data-Intensive Applications,Edward Z,1.5
Setting the Table,Eric S,2.0
Crucial Conversations,Eva Z,4.5
Gödel's Proof,Alex M,3.0
Crucial Conversations,Lauren O,2.0
The Whole Earth Catalog,Gabby H,5.0
Gödel's Proof,Eric S,1.0
The Art of Computer Programming,Eva Z,4.5
Designing Data-Intensive Applications,Michael G,0.5
Refactoring,Cory E,0.0
The Humane Interface,Farrah P,2.5
The Coaching Habit,Gabby H,4.5
The Whole Earth Catalog,Eric S,3.5
Ada Lovelace: The Making of a Computer Scientist,Kelsey G,4.5
Computer Systems: A Programmer's Perspective,Jordan S,5.0
Design Patterns: Elements of Reusable Object-Oriented Software,Atul V,3.0
Refactoring,Farrah P,1.5
The Humane Interface,Jordan S,0.5
Design Patterns: Elements of Reusable Object-Oriented Software,Tess L,5.0
The Coaching Habit,MJ L,2.5
The Whole Earth Catalog,Lauren O,3.5
The Coaching Habit,Kelsey G,3.5
The Art of Computer Programming,Lauren O,5.0
Design Patterns: Elements of Reusable Object-Oriented Software,Kelsey G,2.0
Primed to Perform,Alex M,3.5
Designing Data-Intensive Applications,Zach S,1.5
Resilient Management,Lauren O,4.0
The Humane Interface,Zach S,1.0
Design Patterns: Elements of Reusable Object-Oriented Software,Cory E,0.0
Refactoring,David B,2.0
Computer Systems: A Programmer's Perspective,Lauren O,4.5
What Got You Here Won’t Get You There,Jordan S,1.0
Innovators,Angela C,4.0
Innovators,Michael G,0.0
Primed to Perform,Alma W,4.0
Primed to Perform,Gabby H,1.5
Design Patterns: Elements of Reusable Object-Oriented Software,Atul V,0.0
Gödel's Proof,Tess L,2.0
Designing Data-Intensive Applications,Sameeta D,1.0
Ada Lovelace: The Making of a Computer Scientist,Michael G,3.0
Resilient Management,Jordan S,0.0
Computer Systems: A Programmer's Perspective,Tess L,2.0
Crucial Conversations,Sameeta D,3.0
The Humane Interface,Angela C,3.5
Design Patterns: Elements of Reusable Object-Oriented Software,Andrew L,4.5
The Humane Interface,Andrew L,1.0
Conscious Business: How to Build Value Through Values,Sherly T,0.5
The Humane Interface,Zach S,0.0
The Coaching Habit,Roman M,1.0
Refactoring,Edward Z,1.0
Design Patterns: Elements of Reusable Object-Oriented Software,Eric S,2.5
The Tangled Web,Kelsey G,1.0
Resilient Management,Gabriel B,1.5
The Coaching Habit,Kelsey G,0.0
Conscious Business: How to Build Value Through Values,David B,4.0
The Whole Earth Catalog,MJ L,1.5
Primed to Perform,Jordan S,1.0
Setting the Table,Farrah P,0.0
Ada Lovelace: The Making of a Computer Scientist,Edward Z,1.5
Ada Lovelace: The Making of a Computer Scientist,Atul V,2.0
Primed to Perform,Alex M,4.0
Extreme Ownership,Sam B,4.5
Innovators,Gabby H,2.0
Designing Data-Intensive Applications,Eric S,0.5
Conscious Business: How to Build Value Through Values,Atul V,3.5
Computer Systems: A Programmer's Perspective,Gabby H,2.5
Designing Data-Intensive Applications,Edward Z,3.0
Extreme Ownership,David B,1.0
What Got You Here Won’t Get You There,Eric S,0.0
The Tangled Web,Sameeta D,4.0
The Tangled Web,Sherly T,3.5
Primed to Perform,Gabriel B,1.0
Extreme Ownership,Sam B,0.5
Computer Systems: A Programmer's Perspective,Sherly T,1.5
Crucial Conversations,Eva Z,5.0
The Whole Earth Catalog,Lauren O,3.5
Resilient Management,Gabby H,1.0
Refactoring,Lauren O,5.0
Innovators,Andrew L,1.5
The Whole Earth Catalog,Eric S,4.5
What Got You Here Won’t Get You There,Alex M,4.5
Ada Lovelace: The Making of a Computer Scientist,David B,4.5
The Humane Interface,Eva Z,0.0
Innovators,Gabby H,3.0
Design Patterns: Elements of Reusable Object-Oriented Software,Gabriel B,4.5
The Structure and Interpretation of Computer Programs,Scott D,4.0
The Art of Computer Programming,Alex M,1.0
Gödel's Proof,Lauren O,1.0
Extreme Ownership,Sameeta D,4.0
Setting the Table,Tess L,1.0
The Structure and Interpretation of Computer Programs,Bill C,4.5
Primed to Perform,David B,3.0
The Whole Earth Catalog,Sameeta D,3.5
Computer Systems: A Programmer's Perspective,Cory E,4.5
Gödel's Proof,Tess L,3.5
The Structure and Interpretation of Computer Programs,Kelsey G,4.0
The Art of Computer Programming,Farrah P,2.5
Crucial Conversations,Atul V,2.0
Design Patterns: Elements of Reusable Object-Oriented Software,Sameeta D,4.0
The Art of Computer Programming,Jordan S,1.5
Setting the Table,David B,3.0
Resilient Management,Sherly T,1.5
Crucial Conversations,Cory E,4.0
Design Patterns: Elements of Reusable Object-Oriented Software,Eva Z,2.5
